ts_code,name,management,fund_type,found_date,m_fee,c_fee,benchmark,invest_type,market,manager,net_asset,ann_date,2017,2018,2019,2020,2021,2022,all
005233.OF,广发睿毅领先A,广发基金,混合型,20171214,1.5,0.25,沪深300指数收益率*75%+中证全债指数收益率*25%,混合型,O,林英睿,42.36,20220930,0.003800000000000026,-0.07136449715937417,0.4210582805624129,0.6275679758308157,0.2312404287901991,0.1120910598522539,1.9506
450009.OF,国富中小盘,国海富兰克林基金,股票型,20101123,1.5,0.25,中证700指数收益率*90%+银行同业存款利率*10%,股票型,O,赵晓东,35.14,20220930,0.2439123790117168,-0.1683594069948399,0.4452650957797804,0.5375615766756849,0.1133360042759133,-0.07014388598038161,1.379838609271523
450001.OF,国富中国收益,国海富兰克林基金,混合型,20050601,1.38,0.25,中债国债总指数(全价)*55%+沪深300指数*40%+同业存款息率*5%,混合型,O,徐荔蓉,20.62,20220930,0.09505256825278594,-0.1045498547918683,0.3959783637691747,0.5267261808388551,0.1836718738158554,-0.09157798947571925,1.246931059672845
501046.SH,财通福鑫定开混合,财通基金,混合型,20171023,1.5,0.25,沪深300指数收益率*55%+上证国债指数收益率*45%,灵活配置型,E,金梓才,2.82,20220930,0.01439999999999997,-0.1591402090317492,0.7191933403681556,0.5708245243128965,0.1604654191811747,-0.09368102061431403,1.4225
519697.OF,交银优势行业,交银施罗德基金,混合型,20090121,1.5,0.25,沪深300指数收益率*60%+中证综合债券指数收益率*40%,灵活配置型,O,何帅,58.02,20220930,0.1081939378694504,0.003206128528869305,0.4390176650263024,0.3592902905317898,0.1976069616806392,-0.1122624035329784,1.311975415042133
002624.OF,广发优企精选A,广发基金,混合型,20160804,1.5,0.25,中证800指数收益率*65%+中证全债指数收益率*35%,灵活配置型,O,程琨,11.48,20220930,0.316950852557673,-0.08560548362528565,0.426909395302349,0.5463132238788881,0.08591132868359531,-0.1135184161056897,1.557767883650953
003165.OF,鹏华弘嘉A,鹏华基金,混合型,20160819,0.6,0.2,中证综合债指数收益率*50%+沪深300指数收益率*50%,灵活配置型,O,汤志彦,0.82,20220930,0.04543160020191826,-0.1040077257363594,0.4218749999999998,0.5056460780598712,0.2825288166305935,-0.1180141287284144,1.268854114083796
000747.OF,广发逆向策略A,广发基金,混合型,20140904,1.5,0.25,沪深300指数*50%+中证全债指数*50%,灵活配置型,O,程琨,1.01,20220930,0.08338804990151018,-0.1557575757575757,0.4249820531227567,0.5244332493702769,0.1247191011235956,-0.124199330081683,0.9571240971766253
001182.OF,易方达安心回馈A,易方达基金,混合型,20150529,0.6,0.25,中债新综合指数收益率*70%+沪深300指数收益率*25%+金融机构人民币活期存款基准利率(税后)*5%,混合型,O,李中阳 林虎,52.92,20220930,0.2216117216117216,-0.05847076461769121,0.4068471337579617,0.3174872665534805,0.131872852233677,-0.130550284629981,1.097985347985348
501022.SH,银华鑫盛LOF,银华基金,混合型,20161014,1.5,0.25,沪深300指数收益率*50%+中国债券总指数收益率*50%,灵活配置型,E,王海峰,41.87,20220930,-0.1008991008991008,-0.1455555555555555,0.47074122236671,0.7541998231653404,0.266633064516129,-0.1329088738559491,1.176823176823177
002628.OF,招商安博A,招商基金,混合型,20160525,1.5,0.25,沪深300指数收益率*50%+中债综合指数收益率*50%,灵活配置型,O,张西林,0.97,20220930,0.02507522567703111,-0.04378060724779625,0.3958418680868496,0.5741433707535403,0.05099282185140298,-0.1414759623913429,0.9416248746238716
001603.OF,易方达安盈回报,易方达基金,混合型,20170216,0.9,0.25,中债新综合指数收益率*70%+沪深300指数收益率*25%+金融机构人民币活期存款基准利率(税后)*5%,混合型,O,张清华,25.59,20220930,0.2230000000000001,-0.16107931316435,0.4454191033138402,0.5542818610923803,0.1953209110629066,-0.1499803663213614,1.34198659
519736.OF,交银新成长,交银施罗德基金,混合型,20140509,1.5,0.25,富时中国A600成长指数*75%+中证综合债券指数*25%,混合型,O,王崇,94.77,20220930,0.3358766233766234,-0.1598817191234254,0.5820284860173579,0.5597785990050712,0.03666903238203326,-0.1508443635676678,1.437875167748918
020018.OF,国泰金鹿,国泰基金,混合型,20140826,1.5,0.25,沪深300指数收益率*80%+中债综合指数收益率*20%,混合型,O,李海 赵大震,1.47,20220930,0.002004008165718301,0.0330000024599536,0.3961038954270455,0.4950983887895021,0.09275389908560307,-0.1677032244889237,0.9649788061953023
001651.OF,工银瑞信新蓝筹A,工银瑞信基金,股票型,20150806,1.5,0.25,沪深300指数收益率*80%+中债综合财富指数收益率*20%,股票型,O,王筱苓,3.65,20220930,0.3016917293233082,-0.166907514450867,0.3781439722463139,0.6217747010698552,0.09196740395809085,-0.1709310589907604,1.192669172932331
450011.OF,国富研究精选,国海富兰克林基金,混合型,20120522,1.5,0.25,沪深300指数收益率*80%+中债国债总指数(全价)收益率*20%,混合型,O,徐荔蓉,6.49,20220930,0.1232114467408585,-0.1670205237084218,0.5573491928632115,0.6001091107474086,0.236617797476986,-0.1734215605183346,1.383147853736089
