,上证指数_涨幅,上证50_涨幅,沪深300_涨幅,科创50_涨幅,中证1000_涨幅,中证100_涨幅,中证500_涨幅,创业板指_涨幅,国证2000_涨幅,最优涨幅,最差涨幅,上证指数_定投,上证50_定投,沪深300_定投,科创50_定投,中证1000_定投,中证100_定投,中证500_定投,创业板指_定投,国证2000_定投,最优定投,最差定投
2012,3.17%,14.84%,7.55%,,-1.43%,10.77%,0.28%,-2.14%,0.76%,上证50_涨幅,创业板指_涨幅,-0.19%,5.87%,1.28%,,-5.36%,3.36%,-4.98%,-0.47%,-3.06%,上证50_定投,中证1000_定投
2013,-6.75%,-15.23%,-7.65%,,31.59%,-13.12%,16.89%,82.73%,33.34%,创业板指_涨幅,上证50_涨幅,-4.97%,-10.42%,-6.76%,,9.26%,-9.08%,3.66%,22.47%,11.23%,创业板指_定投,上证50_定投
2014,52.87%,63.93%,51.66%,,34.46%,59.64%,39.01%,12.83%,42.40%,上证50_涨幅,创业板指_涨幅,39.65%,49.23%,43.12%,,20.23%,48.89%,26.18%,7.66%,23.41%,上证50_定投,创业板指_定投
2015,9.41%,-6.23%,5.58%,,76.10%,-1.52%,43.12%,84.41%,88.14%,国证2000_涨幅,上证50_涨幅,-3.59%,-6.49%,-3.75%,,17.38%,-4.73%,4.39%,12.38%,22.99%,国证2000_定投,上证50_定投
2016,-12.31%,-5.53%,-11.28%,,-20.01%,-7.50%,-17.78%,-27.71%,-12.14%,上证50_涨幅,创业板指_涨幅,3.11%,4.92%,2.26%,,-0.11%,3.36%,1.14%,-8.78%,5.52%,国证2000_定投,创业板指_定投
2017,6.56%,25.08%,21.78%,,-17.35%,30.21%,-0.20%,-10.67%,-16.90%,中证100_涨幅,中证1000_涨幅,1.59%,12.27%,10.01%,,-9.97%,14.42%,-1.51%,-5.27%,-9.78%,中证100_定投,中证1000_定投
2018,-24.59%,-19.83%,-25.31%,,-36.87%,-21.94%,-33.32%,-28.65%,-33.77%,上证50_涨幅,中证1000_涨幅,-14.55%,-12.49%,-15.89%,,-20.44%,-14.38%,-19.68%,-19.38%,-18.11%,上证50_定投,中证1000_定投
2019,22.30%,33.58%,36.07%,0.00%,25.67%,35.54%,26.38%,43.79%,23.45%,创业板指_涨幅,科创50_涨幅,3.56%,7.26%,8.17%,,5.11%,7.42%,5.56%,15.13%,3.75%,创业板指_定投,上证指数_定投
2020,13.87%,18.85%,27.21%,39.30%,19.39%,24.09%,20.87%,64.96%,16.87%,创业板指_涨幅,上证指数_涨幅,11.76%,17.89%,20.40%,7.13%,5.50%,21.45%,8.09%,27.51%,3.92%,创业板指_定投,国证2000_定投
2021,4.80%,-10.06%,-5.20%,0.37%,20.52%,-10.55%,15.58%,12.02%,29.19%,国证2000_涨幅,中证100_涨幅,2.26%,-4.62%,-3.13%,-1.88%,13.19%,-5.43%,7.76%,4.39%,19.06%,国证2000_定投,中证100_定投
2022,-15.13%,-19.52%,-21.63%,-31.35%,-21.58%,-22.07%,-20.31%,-29.37%,-17.20%,上证指数_涨幅,科创50_涨幅,-4.42%,-6.03%,-6.43%,-9.50%,-6.46%,-7.45%,-5.76%,-7.95%,-4.92%,上证指数_定投,科创50_定投
all,40.46%,62.91%,65.05%,-4.01%,81.74%,66.78%,79.52%,221.69%,168.60%,创业板指_涨幅,科创50_涨幅,8.38%,13.47%,16.12%,-22.26%,8.32%,15.74%,13.82%,48.05%,35.19%,创业板指_定投,科创50_定投
